,cl_node,ref,target_ph,xphrase_function,verse_text,cl_text
7483,440554,Leviticus 25:27,הֵשִׁיב֙ ,Cmpl,וְחִשַּׁב֙ אֶת־שְׁנֵ֣י מִמְכָּרֹ֔ו וְהֵשִׁיב֙ אֶת־הָ֣עֹדֵ֔ף לָאִ֖ישׁ אֲשֶׁ֣ר מָֽכַר־לֹ֑ו וְשָׁ֖ב לַאֲחֻזָּתֹֽו׃ ,וְהֵשִׁיב֙ אֶת־הָ֣עֹדֵ֔ף לָאִ֖ישׁ 
16396,488956,Zechariah 1:4,אָמַר֙ ,Subj,אַל־תִּהְי֣וּ כַאֲבֹֽתֵיכֶ֡ם אֲשֶׁ֣ר קָרְאֽוּ־אֲלֵיהֶם֩ הַנְּבִיאִ֨ים הָרִֽאשֹׁנִ֜ים לֵאמֹ֗ר כֹּ֤ה אָמַר֙ יְהוָ֣ה צְבָאֹ֔ות שׁ֤וּבוּ נָא֙ מִדַּרְכֵיכֶ֣ם הָרָעִ֔ים וּמַֽעַלְלֵיכֶ֖ם הָֽרָעִ֑ים וְלֹ֥א שָׁמְע֛וּ וְלֹֽא־הִקְשִׁ֥יבוּ אֵלַ֖י נְאֻם־יְהוָֽה׃ ,כֹּ֤ה אָמַר֙ יְהוָ֣ה צְבָאֹ֔ות 
15104,480539,Ezekiel 7:2,אָמַ֞ר ,Cmpl,וְאַתָּ֣ה בֶן־אָדָ֗ם כֹּה־אָמַ֞ר אֲדֹנָ֧י יְהוִ֛ה לְאַדְמַ֥ת יִשְׂרָאֵ֖ל קֵ֑ץ בָּ֣א הַקֵּ֔ץ עַל־אַרְבַּ֖ע כַּנְפֹ֥ות הָאָֽרֶץ׃ ,כֹּה־אָמַ֞ר אֲדֹנָ֧י יְהוִ֛ה לְאַדְמַ֥ת יִשְׂרָאֵ֖ל 
10123,453119,Judges 16:12,תִּקַּ֣ח ,Objc,וַתִּקַּ֣ח דְּלִילָה֩ עֲבֹתִ֨ים חֲדָשִׁ֜ים וַתַּאַסְרֵ֣הוּ בָהֶ֗ם וַתֹּ֤אמֶר אֵלָיו֙ פְּלִשְׁתִּ֤ים עָלֶ֨יךָ֙ שִׁמְשֹׁ֔ון וְהָאֹרֵ֖ב יֹשֵׁ֣ב בֶּחָ֑דֶר וַֽיְנַתְּקֵ֛ם מֵעַ֥ל זְרֹעֹתָ֖יו כַּחֽוּט׃ ,וַתִּקַּ֣ח דְּלִילָה֩ עֲבֹתִ֨ים חֲדָשִׁ֜ים 
15348,482059,Ezekiel 20:10,אֲבִאֵ֖ם ,Cmpl,וָאֹֽוצִיאֵ֖ם מֵאֶ֣רֶץ מִצְרָ֑יִם וָאֲבִאֵ֖ם אֶל־הַמִּדְבָּֽר׃ ,וָאֲבִאֵ֖ם אֶל־הַמִּדְבָּֽר׃ 
18729,508607,Nehemiah 2:1,אֶשָּׂ֤א ,Objc,וַיְהִ֣י׀ בְּחֹ֣דֶשׁ נִיסָ֗ן שְׁנַ֥ת עֶשְׂרִ֛ים לְאַרְתַּחְשַׁ֥סְתְּא הַמֶּ֖לֶךְ יַ֣יִן לְפָנָ֑יו וָאֶשָּׂ֤א אֶת־הַיַּ֨יִן֙ וָאֶתְּנָ֣ה לַמֶּ֔לֶךְ וְלֹא־הָיִ֥יתִי רַ֖ע לְפָנָֽיו׃ ,וָאֶשָּׂ֤א אֶת־הַיַּ֨יִן֙ 
19300,512977,2_Chronicles 7:21,הָיָ֣ה ,Adju,וְהַבַּ֤יִת הַזֶּה֙ אֲשֶׁ֣ר הָיָ֣ה עֶלְיֹ֔ון לְכָל־עֹבֵ֥ר עָלָ֖יו יִשֹּׁ֑ם וְאָמַ֗ר בַּמֶּ֨ה עָשָׂ֤ה יְהוָה֙ כָּ֔כָה לָאָ֥רֶץ הַזֹּ֖את וְלַבַּ֥יִת הַזֶּֽה׃ ,אֲשֶׁ֣ר הָיָ֣ה עֶלְיֹ֔ון לְכָל־
6564,436855,Exodus 31:14,שְׁמַרְתֶּם֙ ,Objc,וּשְׁמַרְתֶּם֙ אֶת־הַשַּׁבָּ֔ת כִּ֛י קֹ֥דֶשׁ הִ֖וא לָכֶ֑ם מְחַֽלְלֶ֨יהָ֙ מֹ֣ות יוּמָ֔ת כִּ֗י כָּל־הָעֹשֶׂ֥ה בָהּ֙ מְלָאכָ֔ה וְנִכְרְתָ֛ה הַנֶּ֥פֶשׁ הַהִ֖וא מִקֶּ֥רֶב עַמֶּֽיהָ׃ ,וּשְׁמַרְתֶּם֙ אֶת־הַשַּׁבָּ֔ת 
12100,462327,1_Kings 8:33,הֹוד֣וּ ,Objc,בְּֽהִנָּגֵ֞ף עַמְּךָ֧ יִשְׂרָאֵ֛ל לִפְנֵ֥י אֹויֵ֖ב אֲשֶׁ֣ר יֶחֶטְאוּ־לָ֑ךְ וְשָׁ֤בוּ אֵלֶ֨יךָ֙ וְהֹוד֣וּ אֶת־שְׁמֶ֔ךָ וְהִֽתְפַּֽלְל֧וּ וְהִֽתְחַנְּנ֛וּ אֵלֶ֖יךָ בַּבַּ֥יִת הַזֶּֽה׃ ,וְהֹוד֣וּ אֶת־שְׁמֶ֔ךָ 
11831,461043,2_Samuel 24:7,יֵּֽצְא֛וּ ,Cmpl,וַיָּבֹ֨אוּ מִבְצַר־צֹ֔ר וְכָל־עָרֵ֥י הַחִוִּ֖י וְהַֽכְּנַעֲנִ֑י וַיֵּֽצְא֛וּ אֶל־נֶ֥גֶב יְהוּדָ֖ה בְּאֵ֥ר שָֽׁבַע׃ ,וַיֵּֽצְא֛וּ אֶל־נֶ֥גֶב יְהוּדָ֖ה בְּאֵ֥ר שָֽׁבַע׃ 
7144,439216,Leviticus 14:2,הוּבָ֖א ,Cmpl,זֹ֤את תִּֽהְיֶה֙ תֹּורַ֣ת הַמְּצֹרָ֔ע בְּיֹ֖ום טָהֳרָתֹ֑ו וְהוּבָ֖א אֶל־הַכֹּהֵֽן׃ ,וְהוּבָ֖א אֶל־הַכֹּהֵֽן׃ 
17553,497721,Job 3:18,שָׁ֝מְע֗וּ ,Objc,יַ֭חַד אֲסִירִ֣ים שַׁאֲנָ֑נוּ לֹ֥א שָׁ֝מְע֗וּ קֹ֣ול נֹגֵֽשׂ׃ ,לֹ֥א שָׁ֝מְע֗וּ קֹ֣ול נֹגֵֽשׂ׃ 
11932,461448,1_Kings 2:17,יָשִׁ֖יב ,Objc,וַיֹּ֗אמֶר אִמְרִי־נָא֙ לִשְׁלֹמֹ֣ה הַמֶּ֔לֶךְ כִּ֥י לֹֽא־יָשִׁ֖יב אֶת־פָּנָ֑יִךְ וְיִתֶּן־לִ֛י אֶת־אֲבִישַׁ֥ג הַשּׁוּנַמִּ֖ית לְאִשָּֽׁה׃ ,כִּ֥י לֹֽא־יָשִׁ֖יב אֶת־פָּנָ֑יִךְ 
15009,479825,Jeremiah 51:47,פָקַדְתִּי֙ ,Cmpl,לָכֵן֙ הִנֵּ֣ה יָמִ֣ים בָּאִ֔ים וּפָקַדְתִּי֙ עַל־פְּסִילֵ֣י בָבֶ֔ל וְכָל־אַרְצָ֖הּ תֵּבֹ֑ושׁ וְכָל־חֲלָלֶ֖יהָ יִפְּל֥וּ בְתֹוכָֽהּ׃ ,וּפָקַדְתִּי֙ עַל־פְּסִילֵ֣י בָבֶ֔ל 
13491,468984,Isaiah 10:26,עֹורֵ֨ר ,Adju,וְעֹורֵ֨ר עָלָ֜יו יְהוָ֤ה צְבָאֹות֙ שֹׁ֔וט כְּמַכַּ֥ת מִדְיָ֖ן בְּצ֣וּר עֹורֵ֑ב וּמַטֵּ֨הוּ֙ עַל־הַיָּ֔ם וּנְשָׂאֹ֖ו בְּדֶ֥רֶךְ מִצְרָֽיִם׃ ,וְעֹורֵ֨ר עָלָ֜יו יְהוָ֤ה צְבָאֹות֙ שֹׁ֔וט כְּמַכַּ֥ת מִדְיָ֖ן בְּצ֣וּר עֹורֵ֑ב 
10249,453659,Judges 20:5,יָּקֻ֤מוּ ,Subj,וַיָּקֻ֤מוּ עָלַי֙ בַּעֲלֵ֣י הַגִּבְעָ֔ה וַיָּסֹ֧בּוּ עָלַ֛י אֶת־הַבַּ֖יִת לָ֑יְלָה אֹותִי֙ דִּמּ֣וּ לַהֲרֹ֔ג וְאֶת־פִּילַגְשִׁ֥י עִנּ֖וּ וַתָּמֹֽת׃ ,וַיָּקֻ֤מוּ עָלַי֙ בַּעֲלֵ֣י הַגִּבְעָ֔ה 
14403,476576,Jeremiah 24:3,תֵאָכַ֖לְנָה ,Adju,וַיֹּ֨אמֶר יְהוָ֜ה אֵלַ֗י מָֽה־אַתָּ֤ה רֹאֶה֙ יִרְמְיָ֔הוּ וָאֹמַ֖ר תְּאֵנִ֑ים הַתְּאֵנִ֤ים הַטֹּבֹות֙ טֹבֹ֣ות מְאֹ֔ד וְהָֽרָעֹות֙ רָעֹ֣ות מְאֹ֔ד אֲשֶׁ֥ר לֹא־תֵאָכַ֖לְנָה מֵרֹֽעַ׃ פ ,אֲשֶׁ֥ר לֹא־תֵאָכַ֖לְנָה מֵרֹֽעַ׃ פ 
16929,493059,Psalms 60:2,יַּ֣ךְ ,Adju,בְּהַצֹּותֹ֨ו׀ אֶ֥ת אֲרַ֣ם נַהֲרַיִם֮ וְאֶת־אֲרַ֪ם צֹ֫ובָ֥ה וַיָּ֤שָׁב יֹואָ֗ב וַיַּ֣ךְ אֶת־אֱדֹ֣ום בְּגֵיא־מֶ֑לַח שְׁנֵ֖ים עָשָׂ֣ר אָֽלֶף׃ ,וַיַּ֣ךְ אֶת־אֱדֹ֣ום בְּגֵיא־מֶ֑לַח שְׁנֵ֖ים עָשָׂ֣ר אָֽלֶף׃ 
12168,462575,1_Kings 9:25,הֶעֱלָ֣ה ,Cmpl,וְהֶעֱלָ֣ה שְׁלֹמֹ֡ה שָׁלֹשׁ֩ פְּעָמִ֨ים בַּשָּׁנָ֜ה עֹלֹ֣ות וּשְׁלָמִ֗ים עַל־הַמִּזְבֵּ֨חַ֙ אֲשֶׁ֣ר בָּנָ֣ה לַיהוָ֔ה וְהַקְטֵ֣יר אִתֹּ֗ו אֲשֶׁ֖ר לִפְנֵ֣י יְהוָ֑ה וְשִׁלַּ֖ם אֶת־הַבָּֽיִת׃ ,וְהֶעֱלָ֣ה שְׁלֹמֹ֡ה שָׁלֹשׁ֩ פְּעָמִ֨ים בַּשָּׁנָ֜ה עֹלֹ֣ות וּשְׁלָמִ֗ים עַל־הַמִּזְבֵּ֨חַ֙ 
5177,430094,Genesis 26:7,יִּשְׁאֲל֞וּ ,Cmpl,וַֽיִּשְׁאֲל֞וּ אַנְשֵׁ֤י הַמָּקֹום֙ לְאִשְׁתֹּ֔ו וַיֹּ֖אמֶר אֲחֹ֣תִי הִ֑וא כִּ֤י יָרֵא֙ לֵאמֹ֣ר אִשְׁתִּ֔י פֶּן־יַֽהַרְגֻ֜נִי אַנְשֵׁ֤י הַמָּקֹום֙ עַל־רִבְקָ֔ה כִּֽי־טֹובַ֥ת מַרְאֶ֖ה הִֽיא׃ ,וַֽיִּשְׁאֲל֞וּ אַנְשֵׁ֤י הַמָּקֹום֙ לְאִשְׁתֹּ֔ו 
14702,478154,Jeremiah 37:21,יְצַוֶּ֞ה ,Subj,וַיְצַוֶּ֞ה הַמֶּ֣לֶךְ צִדְקִיָּ֗הוּ וַיַּפְקִ֣דוּ אֶֽת־יִרְמְיָהוּ֮ בַּחֲצַ֣ר הַמַּטָּרָה֒ וְנָתֹן֩ לֹ֨ו כִכַּר־לֶ֤חֶם לַיֹּום֙ מִח֣וּץ הָאֹפִ֔ים עַד־תֹּ֥ם כָּל־הַלֶּ֖חֶם מִן־הָעִ֑יר וַיֵּ֣שֶׁב יִרְמְיָ֔הוּ בַּחֲצַ֖ר הַמַּטָּרָֽה׃ ,וַיְצַוֶּ֞ה הַמֶּ֣לֶךְ צִדְקִיָּ֗הוּ 
10852,456467,1_Samuel 20:2,יִגְלֶ֖ה ,Objc,וַיֹּ֨אמֶר לֹ֣ו חָלִילָה֮ לֹ֣א תָמוּת֒ הִנֵּ֡ה לֹֽא־יַעֲשֶׂ֨ה אָבִ֜י דָּבָ֣ר גָּדֹ֗ול אֹ֚ו דָּבָ֣ר קָטֹ֔ן וְלֹ֥א יִגְלֶ֖ה אֶת־אָזְנִ֑י וּמַדּוּעַ֩ יַסְתִּ֨יר אָבִ֥י מִמֶּ֛נִּי אֶת־הַדָּבָ֥ר הַזֶּ֖ה אֵ֥ין זֹֽאת׃ ,וְלֹ֥א יִגְלֶ֖ה אֶת־אָזְנִ֑י 
10775,456141,1_Samuel 17:49,יַּ֥ךְ ,Cmpl,וַיִּשְׁלַח֩ דָּוִ֨ד אֶת־יָדֹ֜ו אֶל־הַכֶּ֗לִי וַיִּקַּ֨ח מִשָּׁ֥ם אֶ֨בֶן֙ וַיְקַלַּ֔ע וַיַּ֥ךְ אֶת־הַפְּלִשְׁתִּ֖י אֶל־מִצְחֹ֑ו וַתִּטְבַּ֤ע הָאֶ֨בֶן֙ בְּמִצְחֹ֔ו וַיִּפֹּ֥ל עַל־פָּנָ֖יו אָֽרְצָה׃ ,וַיַּ֥ךְ אֶת־הַפְּלִשְׁתִּ֖י אֶל־מִצְחֹ֑ו 
5740,433085,Genesis 47:3,יֹּאמְר֣וּ ,Cmpl,וַיֹּ֧אמֶר פַּרְעֹ֛ה אֶל־אֶחָ֖יו מַה־מַּעֲשֵׂיכֶ֑ם וַיֹּאמְר֣וּ אֶל־פַּרְעֹ֗ה רֹעֵ֥ה צֹאן֙ עֲבָדֶ֔יךָ גַּם־אֲנַ֖חְנוּ גַּם־אֲבֹותֵֽינוּ׃ ,וַיֹּאמְר֣וּ אֶל־פַּרְעֹ֗ה 
10924,456794,1_Samuel 22:9,רָאִ֨יתִי֙ ,Objc,וַיַּ֜עַן דֹּאֵ֣ג הָאֲדֹמִ֗י וְה֛וּא נִצָּ֥ב עַל־עַבְדֵֽי־שָׁא֖וּל וַיֹּאמַ֑ר רָאִ֨יתִי֙ אֶת־בֶּן־יִשַׁ֔י בָּ֣א נֹ֔בֶה אֶל־אֲחִימֶ֖לֶךְ בֶּן־אֲחִטֽוּב׃ ,רָאִ֨יתִי֙ אֶת־בֶּן־יִשַׁ֔י 
15622,483784,Ezekiel 33:30,דִבֶּר־,Cmpl,וְאַתָּ֣ה בֶן־אָדָ֔ם בְּנֵ֣י עַמְּךָ֗ הַנִּדְבָּרִ֤ים בְּךָ֙ אֵ֣צֶל הַקִּירֹ֔ות וּבְפִתְחֵ֖י הַבָּתִּ֑ים וְדִבֶּר־חַ֣ד אֶת־אַחַ֗ד אִ֤ישׁ אֶת־אָחִיו֙ לֵאמֹ֔ר בֹּֽאוּ־נָ֣א וְשִׁמְע֔וּ מָ֣ה הַדָּבָ֔ר הַיֹּוצֵ֖א מֵאֵ֥ת יְהוָֽה׃ ,וְדִבֶּר־חַ֣ד אֶת־אַחַ֗ד 
19452,513719,2_Chronicles 18:8,יִּקְרָא֙ ,Cmpl,וַיִּקְרָא֙ מֶ֣לֶךְ יִשְׂרָאֵ֔ל אֶל־סָרִ֖יס אֶחָ֑ד וַיֹּ֕אמֶר מַהֵ֖ר מִיכָ֥יְהוּ בֶן־יִמְלָֽא׃ ,וַיִּקְרָא֙ מֶ֣לֶךְ יִשְׂרָאֵ֔ל אֶל־סָרִ֖יס אֶחָ֑ד 
14798,478537,Jeremiah 42:2,יֹּאמְר֞וּ ,Cmpl,וַיֹּאמְר֞וּ אֶֽל־יִרְמְיָ֣הוּ הַנָּבִ֗יא תִּפָּל־נָ֤א תְחִנָּתֵ֨נוּ֙ לְפָנֶ֔יךָ וְהִתְפַּלֵּ֤ל בַּעֲדֵ֨נוּ֙ אֶל־יְהוָ֣ה אֱלֹהֶ֔יךָ בְּעַ֖ד כָּל־הַשְּׁאֵרִ֣ית הַזֹּ֑את כִּֽי־נִשְׁאַ֤רְנוּ מְעַט֙ מֵֽהַרְבֵּ֔ה כַּאֲשֶׁ֥ר עֵינֶ֖יךָ רֹאֹ֥ות אֹתָֽנוּ׃ ,וַיֹּאמְר֞וּ אֶֽל־יִרְמְיָ֣הוּ הַנָּבִ֗יא 
12278,462991,1_Kings 12:31,יַּ֤עַשׂ ,Cmpl,וַיַּ֖עַשׂ אֶת־בֵּ֣ית בָּמֹ֑ות וַיַּ֤עַשׂ כֹּֽהֲנִים֙ מִקְצֹ֣ות הָעָ֔ם אֲשֶׁ֥ר לֹֽא־הָי֖וּ מִבְּנֵ֥י לֵוִֽי׃ ,וַיַּ֤עַשׂ כֹּֽהֲנִים֙ מִקְצֹ֣ות הָעָ֔ם 
10165,453278,Judges 17:8,יֵּ֨לֶךְ ,Cmpl,וַיֵּ֨לֶךְ הָאִ֜ישׁ מֵהָעִ֗יר מִבֵּ֥ית לֶ֨חֶם֙ יְהוּדָ֔ה לָג֖וּר בַּאֲשֶׁ֣ר יִמְצָ֑א וַיָּבֹ֧א הַר־אֶפְרַ֛יִם עַד־בֵּ֥ית מִיכָ֖ה לַעֲשֹׂ֥ות דַּרְכֹּֽו׃ ,וַיֵּ֨לֶךְ הָאִ֜ישׁ מֵהָעִ֗יר מִבֵּ֥ית לֶ֨חֶם֙ יְהוּדָ֔ה 
12452,463804,1_Kings 18:21,יִּגַּ֨שׁ ,Cmpl,וַיִּגַּ֨שׁ אֵלִיָּ֜הוּ אֶל־כָּל־הָעָ֗ם וַיֹּ֨אמֶר֙ עַד־מָתַ֞י אַתֶּ֣ם פֹּסְחִים֮ עַל־שְׁתֵּ֣י הַסְּעִפִּים֒ אִם־יְהוָ֤ה הָֽאֱלֹהִים֙ לְכ֣וּ אַחֲרָ֔יו וְאִם־הַבַּ֖עַל לְכ֣וּ אַחֲרָ֑יו וְלֹֽא־עָנ֥וּ הָעָ֛ם אֹתֹ֖ו דָּבָֽר׃ ,וַיִּגַּ֨שׁ אֵלִיָּ֜הוּ אֶל־כָּל־הָעָ֗ם 
13540,469271,Isaiah 14:30,רָעוּ֙ ,Subj,וְרָעוּ֙ בְּכֹורֵ֣י דַלִּ֔ים וְאֶבְיֹונִ֖ים לָבֶ֣טַח יִרְבָּ֑צוּ וְהֵמַתִּ֤י בָֽרָעָב֙ שָׁרְשֵׁ֔ךְ וּשְׁאֵרִיתֵ֖ךְ יַהֲרֹֽג׃ ,וְרָעוּ֙ בְּכֹורֵ֣י דַלִּ֔ים 
11472,459369,2_Samuel 13:19,תָּ֤שֶׂם ,Cmpl,וַתִּקַּ֨ח תָּמָ֥ר אֵ֨פֶר֙ עַל־רֹאשָׁ֔הּ וּכְתֹ֧נֶת הַפַּסִּ֛ים אֲשֶׁ֥ר עָלֶ֖יהָ קָרָ֑עָה וַתָּ֤שֶׂם יָדָהּ֙ עַל־רֹאשָׁ֔הּ וַתֵּ֥לֶךְ הָלֹ֖וךְ וְזָעָֽקָה׃ ,וַתָּ֤שֶׂם יָדָהּ֙ עַל־רֹאשָׁ֔הּ 
11542,459694,2_Samuel 15:6,יְגַנֵּב֙ ,Objc,וַיַּ֨עַשׂ אַבְשָׁלֹ֜ום כַּדָּבָ֤ר הַזֶּה֙ לְכָל־יִשְׂרָאֵ֔ל אֲשֶׁר־יָבֹ֥אוּ לַמִּשְׁפָּ֖ט אֶל־הַמֶּ֑לֶךְ וַיְגַנֵּב֙ אַבְשָׁלֹ֔ום אֶת־לֵ֖ב אַנְשֵׁ֥י יִשְׂרָאֵֽל׃ פ ,וַיְגַנֵּב֙ אַבְשָׁלֹ֔ום אֶת־לֵ֖ב אַנְשֵׁ֥י יִשְׂרָאֵֽל׃ פ 
7567,440874,Leviticus 27:14,יַעֲרִ֥יךְ ,Subj,וְאִ֗ישׁ כִּֽי־יַקְדִּ֨שׁ אֶת־בֵּיתֹ֥ו קֹ֨דֶשׁ֙ לַֽיהוָ֔ה וְהֶעֱרִיכֹו֙ הַכֹּהֵ֔ן בֵּ֥ין טֹ֖וב וּבֵ֣ין רָ֑ע כַּאֲשֶׁ֨ר יַעֲרִ֥יךְ אֹתֹ֛ו הַכֹּהֵ֖ן כֵּ֥ן יָקֽוּם׃ ,כַּאֲשֶׁ֨ר יַעֲרִ֥יךְ אֹתֹ֛ו הַכֹּהֵ֖ן 
13402,468235,Isaiah 1:24,אֶנָּחֵ֣ם ,Cmpl,לָכֵ֗ן נְאֻ֤ם הָֽאָדֹון֙ יְהוָ֣ה צְבָאֹ֔ות אֲבִ֖יר יִשְׂרָאֵ֑ל הֹ֚וי אֶנָּחֵ֣ם מִצָּרַ֔י וְאִנָּקְמָ֖ה מֵאֹויְבָֽי׃ ,הֹ֚וי אֶנָּחֵ֣ם מִצָּרַ֔י 
6627,437111,Exodus 33:10,רָאָ֤ה ,Objc,וְרָאָ֤ה כָל־הָעָם֙ אֶת־עַמּ֣וּד הֶֽעָנָ֔ן עֹמֵ֖ד פֶּ֣תַח הָאֹ֑הֶל וְקָ֤ם כָּל־הָעָם֙ וְהִֽשְׁתַּחֲוּ֔וּ אִ֖ישׁ פֶּ֥תַח אָהֳלֹֽו׃ ,וְרָאָ֤ה כָל־הָעָם֙ אֶת־עַמּ֣וּד הֶֽעָנָ֔ן 
13206,467406,2_Kings 19:14,יִּפְרְשֵׂ֥הוּ ,Cmpl,וַיִּקַּ֨ח חִזְקִיָּ֧הוּ אֶת־הַסְּפָרִ֛ים מִיַּ֥ד הַמַּלְאָכִ֖ים וַיִּקְרָאֵ֑ם וַיַּ֨עַל֙ בֵּ֣ית יְהוָ֔ה וַיִּפְרְשֵׂ֥הוּ חִזְקִיָּ֖הוּ לִפְנֵ֥י יְהוָֽה׃ פ ,וַיִּפְרְשֵׂ֥הוּ חִזְקִיָּ֖הוּ לִפְנֵ֥י יְהוָֽה׃ פ 
6782,437817,Exodus 40:18,יָּ֖קֶם ,Objc,וַיָּ֨קֶם מֹשֶׁ֜ה אֶת־הַמִּשְׁכָּ֗ן וַיִּתֵּן֙ אֶת־אֲדָנָ֔יו וַיָּ֨שֶׂם֙ אֶת־קְרָשָׁ֔יו וַיִּתֵּ֖ן אֶת־בְּרִיחָ֑יו וַיָּ֖קֶם אֶת־עַמּוּדָֽיו׃ ,וַיָּ֖קֶם אֶת־עַמּוּדָֽיו׃ 
